name,rating,namespace,wiki,url,edit_count,characters_added,references_added,new,deleted,pageviews,pageviews_link,course_slug,,,,,,,,title,,,,,
Zynnell Zuh   ,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Zynnell_Zuh,13,2955,2955,TRUE,FALSE,1282,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-31&end=2099-01-01&project=en.wikipedia.org&pages=Zynnell_Zuh,NetSquared_Accra_Ghana/NetSquared_Accra_Art_and_Feminism_2018_(31st_March_2018),,,,,,,,Ambar,Past,,,,
Zulu Sofola   ,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Zulu_Sofola,1,806,806,FALSE,FALSE,633,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-04-30&end=2099-01-01&project=en.wikipedia.org&pages=Zulu_Sofola,"University_of_Nigeria,_Nsukka/Nnamdi_Azikiwe_Library__(2018)",,,,,,,,A,Ge,,,,
Zulma Steele   ,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Zulma_Steele,23,5311,4028,TRUE,FALSE,17,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-01-18&end=2099-01-01&project=en.wikipedia.org&pages=Zulma_Steele,Montana_State_University/Bozeman_ArtAndFeminism_2018,,,,,,,,A,K,M,Abdul,Awal,Mazumder
Zoe Tuck   ,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Zoe_Tuck,1,92,92,FALSE,FALSE,30,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-30&end=2099-01-01&project=en.wikipedia.org&pages=Zoe_Tuck,Mills_College_Art_Museum/Art_and_Feminism_Wikipedia_edit-a-thon,,,,,,,,A.Z.M.,Enayetullah,Khan,,,
Zoe Marieh Urness  ,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Zoe_Marieh_Urness,1,32,32,TRUE,FALSE,2,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-24&end=2099-01-01&project=en.wikipedia.org&pages=Zoe_Marieh_Urness,ABQ/Albuquerque_ArtAndFeminism2018,,,,,,,,A'Lelia,Walker,,,,
Zoe Leonard   ,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Zoe_Leonard,1,391,391,FALSE,FALSE,27914,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-06&end=2099-01-01&project=en.wikipedia.org&pages=Zoe_Leonard,UC_Berkeley/UC_Berkeley_ArtAndFeminism2018,,,,,,,,Abanindranath,Tagore,,,,
Zoe Crosher   ,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Zoe_Crosher,2,26,26,FALSE,FALSE,769,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-15&end=2099-01-01&project=en.wikipedia.org&pages=Zoe_Crosher,Aspen_Art_Museum/Wikipedia_Editathon_Aspen_Art_Museum_2018,,,,,,,,Abastenia,St.,Leger,Eberle,,
Zitkala-Sa    ,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Zitkala-Sa,1,1178,1178,FALSE,FALSE,55012,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-02-05&end=2099-01-01&project=en.wikipedia.org&pages=Zitkala-Sa,Oberlin_College/Oberlin_College_ArtandFeminism_2018,,,,,,,,Abbie,Adams,,,,
Zion Williamson   ,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Zion_Williamson,2,587,587,FALSE,FALSE,2664264,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-03&end=2099-01-01&project=en.wikipedia.org&pages=Zion_Williamson,Transylvania_University/Transylvania_Liberal_Arts_and_Feminism,,,,,,,,Abdul,Majid,Mandal,,,
Zheng Zhilong   ,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Zheng_Zhilong,2,2399,2399,FALSE,FALSE,3260,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-03&end=2099-01-01&project=en.wikipedia.org&pages=Zheng_Zhilong,Transylvania_University/Transylvania_Liberal_Arts_and_Feminism,,,,,,,,Abdullah,al,Kafi,,,
Zema Barbara Coghill Haworth ,,0,en.wikipedia.org,https://en.wikipedia.org/wiki/Zema_Barbara_Coghill_Haworth,1,33,33,TRUE,FALSE,0,https://tools.wmflabs.org/pageviews/?platform=all-access&agent=user&start=2018-03-17&end=2099-01-01&project=en.wikipedia.org&pages=Zema_Barbara_Coghill_Haworth,National_Museum_of_Women_in_the_Arts/DC_NMWA_ArtAndFeminism_2018,,,,,,,,Abibata,Shanni,Mahama,Zakariah,,
